productos_descripcion|productos_cantidad_presentacion|productos_marca|productos_precio_lista
VINO TINTO CHARDONAY PEDERNAL VALLEY PYROS X 750 C|1.0|PYROS|13100.0
VINO TINTO SYRAH PEDERNAL VALLEY PYROS X 750 CC|1.0|PYROS|13100.0
VINO TINTO MALBEC CABERNET PEDERNAL VALLEY PYROS X|1.0|PYROS|13100.0
VINO TINTO MALBEC MAGNUM PORTILLO X 1.5 LT|1.0|PORTILLO|13199.0
VINO TINTO CABERNET FRANC FABRE MONTMAYOU X 750 CC|1.0|FABRE MONTMAYOU|13230.0
VINO TINTO MALBEC LOS HELECHOS RESERVA X 750 CC|1.0|LOS HELECHOS|13284.0
VINO TINTO SYRAH PAZ X 750 CC|1.0|PAZ|13295.0
VINO TINTO CABERNET SAUV RESERVA DON DAVID X 750C|1.0|DON DAVID|13289.0
VINO TINTO MALBEC TANNAT DON DAVID RVA X 750CC|1.0|DON DAVID|13289.0
VINO TINTO MALBEC RESERVA DON DAVID X 750 CC|1.0|DON DAVID|13295.0
VINO TINTO MALBEC RESERVA FOND DE CAVE X 750 CC|1.0|FOND DE CAVE|13295.0
VINO TINTO CABE FRANC RESERVA FOND DE CAVE X 750CC|1.0|FOND DE CAVE|13295.0
VINO TINTO CABERNET RESERVA FOND DE CAVE X 750 CC|1.0|FOND DE CAVE|13295.0
